"date","session_time","stationID","number_of_users","average_power_usage"
4311807-12-27,"1574136000","2-39-129-17",1,6.22165114037906
4311945-12-23,"1574186400","2-39-78-360",1,0.384691170898067
4311945-12-23,"1574186400","2-39-95-27",1,6.92403890690134
4311955-11-01,"1574190000","2-39-78-361",1,0.904573170731707
4311965-09-09,"1574193600","2-39-95-27",1,3.56037735849057
4312202-03-31,"1574280000","2-39-78-361",1,0.315513552068474
4312212-02-07,"1574283600","2-39-79-379",1,3.01405588484335
4312428-12-10,"1574362800","2-39-78-361",1,2.50219204655674
4312428-12-10,"1574362800","2-39-91-437",1,5.92716728327167
4312438-10-19,"1574366400","2-39-91-441",1,6.55574127906977
4312665-07-01,"1574449200","2-39-78-367",1,0.581379719312117
4313444-02-28,"1574733600","2-39-139-28",1,3.1640625
4313611-09-20,"1574794800","2-39-123-23",1,0.785486211901306
4313621-07-29,"1574798400","2-39-123-23",1,1.74789732386674
4313641-04-15,"1574805600","2-39-92-436",1,6.18197638284649
4314843-10-11,"1575244800","2-39-139-28",1,1.71456953642384
4315040-11-27,"1575316800","2-39-127-19",1,1.50305432921885
4315050-10-06,"1575320400","2-39-95-444",1,3.4257306122449
4315287-04-26,"1575406800","2-39-92-442",1,1.14507152145644
4315297-03-04,"1575410400","2-39-78-362",1,0.457623400365631
4315484-06-12,"1575478800","2-39-139-28",1,6.05260663507109
4315494-04-21,"1575482400","2-39-79-378",1,5.57951742627346
4315504-02-29,"1575486000","2-39-91-437",1,5.37502452697968
4315514-01-07,"1575489600","2-39-88-24",1,0.644406196213425
4315514-01-07,"1575489600","2-39-91-441",1,3.18559085471222
4315740-09-18,"1575572400","2-39-124-22",1,6.77860746720484
4315750-07-28,"1575576000","2-39-124-22",1,1.71535269709544
4316203-12-21,"1575741600","2-39-139-28",1,5.78330241187384
4316923-06-29,"1576004400","2-39-78-361",1,2.37094430992736
4317160-01-18,"1576090800","2-39-130-31",1,1.70484581497797
4317189-08-13,"1576101600","2-39-89-25",1,6.80805695433235
4317229-01-15,"1576116000","2-39-138-29",1,3.40873820342538
4317376-11-20,"1576170000","2-39-79-380",1,5.5114479200258
4317652-11-13,"1576270800","2-39-78-367",1,0.864875301097619
4317662-09-22,"1576274400","2-39-127-19",1,0.750157986111111
4317682-06-09,"1576281600","2-39-123-23",1,1.28810275098884
4317682-06-09,"1576281600","2-39-78-367",1,0.941196293176074
4318362-07-15,"1576530000","2-39-78-363",1,6.11346153846154
4318362-07-15,"1576530000","2-39-91-441",1,3.27068607068607
4319052-06-27,"1576782000","2-39-127-19",1,6.81296928327645
4319052-06-27,"1576782000","2-39-78-362",1,2.01058178752108
4319772-01-04,"1577044800","2-39-131-30",1,6.92139101558897
4320008-07-25,"1577131200","2-39-123-23",1,2.52819782956769
4321181-06-26,"1577559600","2-39-79-380",1,0.338458178641625
4322590-12-16,"1578074400","2-39-79-380",1,0.45873786407767
4322886-08-26,"1578182400","2-39-127-19",1,1.43781597573306
4324246-11-05,"1578679200","2-39-79-380",1,0.300429676310513
4324266-07-23,"1578686400","2-39-78-367",1,2.56776995656732
4324266-07-23,"1578686400","2-39-91-437",1,0.577913247362251
4324798-10-22,"1578880800","2-39-139-28",1,2.55755652518842
4324956-07-05,"1578938400","2-39-127-19",1,5.49365482233503
4325202-12-03,"1579028400","2-39-78-361",1,2.56127388535032
4325212-10-11,"1579032000","2-39-88-24",1,3.09729476153245
4325232-06-28,"1579039200","2-39-78-366",1,0.146200723671682
4325271-12-01,"1579053600","2-39-79-381",1,0.101442002812319
4325676-01-12,"1579201200","2-39-78-367",1,0.348361557070596
4325922-06-12,"1579291200","2-39-79-380",1,0.219010547463586
4325942-02-27,"1579298400","2-39-78-361",1,0.167730642504119
4326178-09-17,"1579384800","2-39-127-19",1,3.06955636363636
4326395-07-22,"1579464000","2-39-89-25",1,2.97068936170213
4326612-05-25,"1579543200","2-39-139-28",1,6.16560731388768
4326691-04-01,"1579572000","2-39-139-28",1,0.729462365591398
4326839-02-04,"1579626000","2-39-78-360",1,6.20174146014735
4326868-08-30,"1579636800","2-39-88-438",1,2.80849002191718
4327085-07-04,"1579716000","2-39-78-366",1,0.827218934911243
4327115-01-29,"1579726800","2-39-79-380",1,0.166655618163739
4327341-10-10,"1579809600","2-39-91-441",1,5.81322725012432
4327805-01-11,"1579978800","2-39-131-30",1,3.37907830825732
4328248-07-27,"1580140800","2-39-79-382",1,1.72532751091703
4328278-02-20,"1580151600","2-39-124-22",1,4.0785498489426
4328386-07-24,"1580191200","2-39-139-28",1,3.39950124688279
4328514-09-11,"1580238000","2-39-78-363",1,0.6794509487283
4328524-07-20,"1580241600","2-39-90-26",1,0.369967355821545
4329244-01-27,"1580504400","2-39-91-441",1,6.19521172892459
4329529-11-29,"1580608800","2-39-78-366",1,6.50259208731242
4329904-06-16,"1580745600","2-39-79-380",1,1.57525539160045
4329943-11-19,"1580760000","2-39-138-29",1,1.2162680883473
4330180-06-08,"1580846400","2-39-95-27",1,0.58748627881449
4330190-04-17,"1580850000","2-39-79-377",1,1.05612143878561
4330190-04-17,"1580850000","2-39-90-440",1,1.08350190040585
4330190-04-17,"1580850000","2-39-95-27",1,0.669533433670178
4330200-02-24,"1580853600","2-39-95-27",1,1.26206896551724
4330210-01-03,"1580857200","2-39-91-441",1,0.979182749900173
4330219-11-12,"1580860800","2-39-124-22",1,1.98584469175941
4330397-04-12,"1580925600","2-39-91-437",1,2.81642535010681
4330407-02-19,"1580929200","2-39-123-23",1,3.19857789269554
4330416-12-28,"1580932800","2-39-126-20",1,0.278906797477225
4330663-05-28,"1581022800","2-39-78-363",1,0.400161917098446
4330663-05-28,"1581022800","2-39-78-367",1,0.307231270358306
4330673-04-05,"1581026400","2-39-79-383",1,1.55905939101598
4330683-02-12,"1581030000","2-39-123-23",1,2.04747592239334
4330712-09-08,"1581040800","2-39-139-28",1,6.10355329949239
4330899-12-16,"1581109200","2-39-78-367",1,2.07664670658683
4330909-10-25,"1581112800","2-39-79-383",1,1.75688342555799
4331205-07-05,"1581220800","2-39-78-367",1,4.36277227722772
4331619-06-25,"1581372000","2-39-123-23",1,1.66413223140496
4331639-03-12,"1581379200","2-39-124-22",1,0.6723259762309
4331856-01-14,"1581458400","2-39-88-24",1,0.201047503045067
4331885-08-09,"1581469200","2-39-128-18",1,3.22959068719489
4331905-04-27,"1581476400","2-39-139-28",1,6.5272131147541
4332053-03-01,"1581530400","2-39-79-380",1,0.338526315789474
4332122-02-28,"1581555600","2-39-78-360",1,4.95790213064856
4332279-11-12,"1581613200","2-39-78-366",1,6.52338762214984
4332299-07-30,"1581620400","2-39-88-24",1,6.55449871465296
4332309-06-08,"1581624000","2-39-78-362",1,0.324836867862969
4332536-02-18,"1581706800","2-39-79-381",1,3.01546488573516
4332565-09-13,"1581717600","2-39-78-360",1,0.251484271156402
4333482-05-09,"1582052400","2-39-92-442",1,6.52489411764706
4333492-03-17,"1582056000","2-39-88-24",1,3.32874058127018
4333502-01-25,"1582059600","2-39-127-19",1,5.55798644724105
4333502-01-25,"1582059600","2-39-78-367",1,0.896378698224852
4333511-12-04,"1582063200","2-39-78-367",1,1.74715909090909
4333521-10-12,"1582066800","2-39-78-367",1,1.02316810344828
4333531-08-21,"1582070400","2-39-78-367",1,1.79138755980861
4333718-11-28,"1582138800","2-39-78-361",1,0.536208625877633
4333728-10-06,"1582142400","2-39-78-360",1,0.459327731092437
4333758-05-02,"1582153200","2-39-78-361",1,0.285330467490596
4333965-04-27,"1582228800","2-39-90-26",1,6.56926658905704
4333994-11-21,"1582239600","2-39-79-376",1,0.634142259414226
4334004-09-29,"1582243200","2-39-78-361",1,0.143368421052632
4334004-09-29,"1582243200","2-39-78-365",1,2.69938650306749
4334172-04-21,"1582304400","2-39-95-27",1,5.24795144157815
4334418-09-19,"1582394400","2-39-129-17",1,3.29056603773585
4335187-07-10,"1582675200","2-39-78-361",1,0.745468392993145
4335404-05-13,"1582754400","2-39-78-367",1,0.863157894736842
4335463-07-03,"1582776000","2-39-139-28",1,3.81523087525844
4335631-01-23,"1582837200","2-39-78-363",1,0.355654647497501
4336794-02-15,"1583262000","2-39-123-23",1,5.61178908588533
4336803-12-25,"1583265600","2-39-123-23",1,2.7755150791281
4336833-07-20,"1583276400","2-39-79-380",1,0.104984434823058
4337247-07-10,"1583427600","2-39-78-366",1,0.646116406408436
4337267-03-27,"1583434800","2-39-78-362",1,4.09429654100203
4337277-02-02,"1583438400","2-39-78-363",1,0.738355535140101
4337286-12-12,"1583442000","2-39-78-363",1,1.52433839479393
4337296-10-20,"1583445600","2-39-78-366",1,0.341528239202658
4337543-03-21,"1583535600","2-39-78-366",1,2.31643377885784
