date,stationID,number_of_users,average_power_usage
2019-10-18,2-39-123-23,1,0.205495682656827
2019-10-18,2-39-127-19,1,1.26363190184049
2019-10-18,2-39-130-31,3,1.14762153380289
2019-10-18,2-39-131-30,1,0.812333333333333
2019-10-18,2-39-138-29,2,0.911152916447715
2019-10-18,2-39-139-28,2,1.57912751187432
2019-10-18,2-39-78-361,2,2.99610199844277
2019-10-18,2-39-78-363,2,1.6976329437381
2019-10-18,2-39-78-364,1,1.4675650653225
2019-10-18,2-39-78-365,1,0.122784702310676
2019-10-18,2-39-78-366,1,4.21466944667201
2019-10-18,2-39-78-367,2,1.46337194067559
2019-10-18,2-39-79-377,1,1.60466482359136
2019-10-18,2-39-79-378,1,0.285148482709951
2019-10-18,2-39-79-379,2,1.52369952926909
2019-10-18,2-39-79-380,1,2.18988998884551
2019-10-18,2-39-79-382,1,2.08927307110439
2019-10-18,2-39-79-383,1,0.812962269199893
2019-10-18,2-39-83-386,1,0.726
2019-10-18,2-39-88-24,1,1.38279558970932
2019-10-18,2-39-89-25,1,0.944711729622266
2019-10-18,2-39-89-439,1,4.32919582112371
2019-10-18,2-39-90-26,1,0.521528112449799
2019-10-18,2-39-90-440,1,4.00829883628968
2019-10-18,2-39-91-437,1,1.754
2019-10-18,2-39-92-442,1,4.26464700712821
2019-10-18,2-39-95-27,3,2.18651067371277
2019-10-18,2-39-95-444,1,6.03592049012934
2019-10-19,2-39-124-22,1,4.43596533490012
2019-10-19,2-39-128-18,1,1.107
2019-10-19,2-39-129-17,2,1.24208610596299
2019-10-19,2-39-131-30,2,1.01609580285732
2019-10-19,2-39-138-29,2,1.09370014825797
2019-10-19,2-39-139-28,1,2.52291389625142
2019-10-19,2-39-78-361,2,0.629779352226721
2019-10-19,2-39-78-362,1,1.61956473973319
2019-10-19,2-39-79-383,1,0.197206450244006
2019-10-19,2-39-88-438,1,2.92
2019-10-19,2-39-92-436,1,1.887
2019-10-19,2-39-92-442,1,4.56775993703266
2019-10-20,2-39-123-23,1,1.48033841396068
2019-10-20,2-39-129-17,1,0.145011650485437
2019-10-20,2-39-130-31,1,1.673
2019-10-20,2-39-131-30,1,1.54246832341617
2019-10-20,2-39-139-28,1,3.49663341067285
2019-10-20,2-39-79-377,1,0.17615048644173
2019-10-20,2-39-88-24,1,1.948
2019-10-20,2-39-89-25,1,3.30908362183755
2019-10-20,2-39-95-27,2,2.49438859433303
2019-10-21,2-39-123-23,2,1.55899451677469
2019-10-21,2-39-124-22,1,1.24127597402597
2019-10-21,2-39-126-20,1,1.93223286180631
2019-10-21,2-39-130-31,1,0.992946205913787
2019-10-21,2-39-131-30,1,1.0704584556219
2019-10-21,2-39-138-29,1,0.801
2019-10-21,2-39-139-28,1,4.21551355787746
2019-10-21,2-39-78-360,1,0.287153579676674
2019-10-21,2-39-78-361,1,0.0032027989503936
2019-10-21,2-39-78-362,1,0.502769230769231
2019-10-21,2-39-78-367,1,0.149933347575304
2019-10-21,2-39-79-376,1,0.278633407496149
2019-10-21,2-39-79-377,1,4.02906222156222
2019-10-21,2-39-79-379,2,2.87182090444065
2019-10-21,2-39-79-380,1,2.97996228620914
2019-10-21,2-39-79-381,1,0.192860411899313
2019-10-21,2-39-79-382,1,1.55711842667807
2019-10-21,2-39-79-383,1,1.25024348714456
2019-10-21,2-39-88-24,2,0.788408653846154
2019-10-21,2-39-89-25,1,2.32989497206704
2019-10-21,2-39-90-26,2,0.476986016628874
